[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /swagger/*any             --> main.main.func1 (5 handlers)
[GIN-debug] GET    /api/products             --> product-service/internal/handlers.(*ProductHandler).GetAllProducts-fm (5 handlers)
[GIN-debug] GET    /api/product/:id          --> product-service/internal/handlers.(*ProductHandler).GetProduct-fm (5 handlers)
[GIN-debug] POST   /api/product              --> product-service/internal/handlers.(*ProductHandler).CreateProduct-fm (5 handlers)
[GIN-debug] PUT    /api/product              --> product-service/internal/handlers.(*ProductHandler).UpdateProduct-fm (5 handlers)
[GIN-debug] DELETE /api/product/:id          --> product-service/internal/handlers.(*ProductHandler).DeleteProduct-fm (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8810
[GIN] 2025/02/24 - 23:04:50 | 200 |       155.8µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2025/02/24 - 23:04:50 | 200 |       155.8µs |             ::1 | GET      "/swagger/index.html"
[GIN] 2025/02/24 - 23:04:50 | 200 |       521.2µs |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2025/02/24 - 23:04:50 | 200 |       521.2µs |             ::1 | GET      "/swagger/swagger-ui.css"
[GIN] 2025/02/24 - 23:04:50 | 200 |       539.3µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2025/02/24 - 23:04:50 | 200 |       539.3µs |             ::1 | GET      "/swagger/swagger-ui-standalone-preset.js"
[GIN] 2025/02/24 - 23:04:50 | 200 |      1.0586ms |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2025/02/24 - 23:04:50 | 200 |      1.0586ms |             ::1 | GET      "/swagger/swagger-ui-bundle.js"
[GIN] 2025/02/24 - 23:04:50 | 200 |       324.6µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2025/02/24 - 23:04:50 | 200 |       324.6µs |             ::1 | GET      "/swagger/doc.json"
[GIN] 2025/02/24 - 23:04:50 | 200 |            0s |             ::1 | GET      "/swagger/favicon-32x32.png"
[GIN] 2025/02/24 - 23:04:50 | 200 |            0s |             ::1 | GET      "/swagger/favicon-32x32.png"
[GIN] 2025/02/24 - 23:07:36 | 200 |      1.2904ms |             ::1 | GET      "/api/products"
[GIN] 2025/02/24 - 23:07:36 | 200 |      1.2904ms |             ::1 | GET      "/api/products"
